event_id,country,year,event_name,event_type,source_url,download_status,download_error,competition_rows,auction_rows
3eba8775b8710914,Peru,2023,Peru 2023,COE,https://allianceforcoffeeexcellence.org/peru-2023/,success,NA,33,76
3f24f65f0fcace40,Peru,2022,Peru 2022,COE,https://allianceforcoffeeexcellence.org/peru-2022/,success,NA,32,72
3f6557f6d36b2162,Costa Rica,2018,2018,COE,https://allianceforcoffeeexcellence.org/costa-rica-2018/,success,NA,42,91
3fdd9aa5fb9dcee3,Ethiopia,2020,Ethiopia 2020,COE,https://allianceforcoffeeexcellence.org/ethiopia-2020/,success,NA,0,76
415b9957427e9382,Rwanda,2013,2013,COE,https://allianceforcoffeeexcellence.org/rwanda-2013/,success,NA,15,32
41c894e8f5792c14,Bolivia,2009,2009,COE,https://allianceforcoffeeexcellence.org/bolivia-2009/,success,NA,30,62
44540f168407c8ad,Costa Rica,2012,2012,COE,https://allianceforcoffeeexcellence.org/costa-rica-2012/,success,NA,27,56
44619d3e719c99ef,Brazil,2008,2008,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2008/,success,NA,23,48
4891a599b8c371e3,Guatemala,2007,2007,COE,https://allianceforcoffeeexcellence.org/guatemala-2007/,success,NA,19,40
49d1caf44685b143,Guatemala,2015,2015,COE,https://allianceforcoffeeexcellence.org/guatemala-2015/,success,NA,24,50
4b1d2194122da044,Guatemala,2014,2014,COE,https://allianceforcoffeeexcellence.org/guatemala-2014/,success,NA,24,50
4b2992b9faf3f4f6,El Salvador,2020,El Salvador 2020,COE,https://allianceforcoffeeexcellence.org/el-salvador-2020/,success,NA,0,59
4cb76103d3072242,Honduras,2004,2004,COE,https://allianceforcoffeeexcellence.org/honduras-2004/,success,NA,21,44
4d450701ea8feb17,Brazil,2025,Brazil 2025,COE,https://allianceforcoffeeexcellence.org/brazil-2025/,success,NA,39,42
4ddbb0cda233441d,Ethiopia,2022,Ethiopia 2022,COE,https://allianceforcoffeeexcellence.org/ethiopia-2022/,success,NA,32,77
4e0a635e5b9cd136,Peru,2018,2018,COE,https://allianceforcoffeeexcellence.org/peru-2018/,success,NA,24,58
4f4bfa360131e53c,El Salvador,2025,El Salvador 2025,COE,https://allianceforcoffeeexcellence.org/el-salvador-2025/,success,NA,32,66
4f643bafa11775bd,Guatemala,2013,2013,COE,https://allianceforcoffeeexcellence.org/guatemala-2013/,success,NA,23,48
512074cd9f5e0fb3,Peru,2020,Peru 2020,COE,https://allianceforcoffeeexcellence.org/peru-2020/,success,NA,0,61
5128a3c5edf58a16,Guatemala,2011,2011,COE,https://allianceforcoffeeexcellence.org/guatemala-2011/,success,NA,29,60
54e133d3a0bc6ff3,Honduras,2014,2014,COE,https://allianceforcoffeeexcellence.org/honduras-2014/,success,NA,23,48
558daec13f90276f,El Salvador,2014,2014,COE,https://allianceforcoffeeexcellence.org/el-salvador-2014/,success,NA,33,68
563b2176a64e6691,Costa Rica,2025,Costa Rica 2025,COE,https://allianceforcoffeeexcellence.org/costa-rica-2025/,success,NA,33,68
5690e5dd7b7859d2,Brazil,2023,Brazil 2023,COE,https://allianceforcoffeeexcellence.org/brazil-2023/,success,NA,30,36
56e67cb59fb81745,Costa Rica,2015,2015,COE,https://allianceforcoffeeexcellence.org/costa-rica-2015/,success,NA,35,72
56f3d93e6d53724a,Brazil,2018,2018,COE Natural,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,success,NA,45,92
58d0dda26a0c47c5,Brazil,2019,2019,COE,https://allianceforcoffeeexcellence.org/brazil-2019/,success,NA,30,63
5971844d6c5e2009,Nicaragua,2010,2010,COE,https://allianceforcoffeeexcellence.org/nicaragua-2010/,success,NA,27,56
597c46cc3f0e2bd1,Honduras,2010,2010,COE,https://allianceforcoffeeexcellence.org/honduras-2010/,success,NA,25,52
5a4325fd738bec15,Ecuador,2023,Ecuador 2023,COE,https://allianceforcoffeeexcellence.org/ecuador-2023/,success,NA,19,19
5add2920159e49b6,Burundi,2019,2019,COE,https://allianceforcoffeeexcellence.org/burundi-2019/,success,NA,24,49
5b0c683a06c2fd21,Brazil,2000,2000,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2000/,success,NA,18,38
6125b41b95ca5561,Burundi,2018,2018,COE,https://allianceforcoffeeexcellence.org/burundi-2018/,success,NA,36,80
616f537ef2678bf7,Burundi,2012,2012,COE,https://allianceforcoffeeexcellence.org/burundi-2012/,success,NA,17,36
633bbe248a592d8c,Honduras,2025,Honduras 2025,COE,https://allianceforcoffeeexcellence.org/honduras-2025/,success,NA,33,68
6380da67582687f1,Brazil,2002,2002,COE Pulped Natural,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,success,NA,28,58
648ba67dc99a9346,El Salvador,2019,2019,COE,https://allianceforcoffeeexcellence.org/el-salvador-2019/,success,NA,27,63
6646acbd1638b6ee,Bolivia,2008,2008,COE,https://allianceforcoffeeexcellence.org/bolivia-2008/,success,NA,29,60
