event_id,event_name,event_type,country,year,program,entries,reported_process,missing_process,coverage_rate
5971844d6c5e2009,2010,COE,Nicaragua,2010,COE,27,0,27,0
597c46cc3f0e2bd1,2010,COE,Honduras,2010,COE,25,0,25,0
5a4325fd738bec15,Ecuador 2023,COE,Ecuador,2023,COE,16,16,0,1
5add2920159e49b6,2019,COE,Burundi,2019,COE,23,23,0,1
5b0c683a06c2fd21,2000,COE Pulped Natural,Brazil,2000,COE,18,18,0,1
6125b41b95ca5561,2018,COE,Burundi,2018,COE,29,29,0,1
616f537ef2678bf7,2012,COE,Burundi,2012,COE,17,0,17,0
633bbe248a592d8c,Honduras 2025,COE,Honduras,2025,COE,30,30,0,1
6380da67582687f1,2002,COE Pulped Natural,Brazil,2002,COE,28,28,0,1
648ba67dc99a9346,2019,COE,El Salvador,2019,COE,25,25,0,1
6646acbd1638b6ee,2008,COE,Bolivia,2008,COE,29,0,29,0
69a12e0f55740ef8,2008,COE,Rwanda,2008,COE,24,0,24,0
6b9d377e893fb5d8,2008,COE,El Salvador,2008,COE,36,0,36,0
6dc5bb1377bf2317,2011,COE Pulped Natural,Brazil,2011,COE,31,31,0,1
7271aa2d4ce78a13,Guatemala 2023,COE,Guatemala,2023,COE,28,28,0,1
7294b6371afc8507,2013,COE,El Salvador,2013,COE,25,0,25,0
730e5b8120156480,Honduras 2024,COE,Honduras,2024,COE,29,29,0,1
7596cdc55b1b13b7,2007,COE,El Salvador,2007,COE,23,0,23,0
762c57dba751e942,2007,COE,Nicaragua,2007,COE,34,0,34,0
7887cd6f3b2c4612,2006 North,COE regional,Colombia,2006,COE,23,0,23,0
7b46413689f41744,Nicaragua 2023,COE,Nicaragua,2023,COE,16,16,0,1
7b8b2a60ec93c4dc,2006,COE,Honduras,2006,COE,33,0,33,0
7ba223eeaf3a9cb7,2017,COE Natural,Brazil,2017,COE,32,32,0,1
7cd41b217cdcd97e,2017,COE,Mexico,2017,COE,22,0,22,0
7d2b8caa9301eabc,Indonesia 2023,COE,Indonesia,2023,COE,22,22,0,1
7d2b8caa9301eabc,Indonesia 2023,COE,Indonesia,2023,NW,2,2,0,1
7e63f3505a9fd29f,2009 North,COE regional,Colombia,2009,COE,27,0,27,0
7eda394b87ad5966,Nicaragua 2025,COE,Nicaragua,2025,COE,30,30,0,1
7ee7c9627e3a94bd,2011 North,COE regional,Colombia,2011,COE,22,0,22,0
7f40430980f0b5e6,2018,COE,Nicaragua,2018,COE,35,35,0,1
8191f8204aa713fa,2016,COE,Guatemala,2016,COE,17,0,17,0
81ba66b9c2fe1d13,2013,COE Natural,Brazil,2013,COE,21,21,0,1
8490c0273821d2a1,Mexico 2021,COE,Mexico,2021,COE,30,30,0,1
85b770ec2ac11ac8,2008,COE,Honduras,2008,COE,26,0,26,0
85dbbeca6dd82687,2015,COE,Rwanda,2015,COE,21,0,21,0
8609cb0c260326a4,2012,COE,Rwanda,2012,COE,26,0,26,0
86196d6e98565c85,2017,COE,Costa Rica,2017,COE,29,0,29,0
