event_id,country,year,event_name,raw_rows,entries,removed,retention_rate
3f24f65f0fcace40,Peru,2022,Peru 2022,32,29,3,0.90625
3eba8775b8710914,Peru,2023,Peru 2023,33,30,3,0.9090909090909091
85dbbeca6dd82687,Rwanda,2015,2015,24,21,3,0.875
3252450a1c4f202d,Rwanda,2018,2018,32,29,3,0.90625
8783a594e2c5082b,Brazil,2014,2014,23,21,2,0.9130434782608695
101c33c318834c3a,Brazil,2015,2015 January,23,21,2,0.9130434782608695
29ce078048b6ca5a,Brazil,2016,2016,26,24,2,0.9230769230769231
f8c00d6b60400117,Brazil,2021,Brazil 2021,31,29,2,0.9354838709677419
bc5c1e38d691c08b,Burundi,2017,2017,25,23,2,0.92
8ec9c5ddcac94e33,Colombia,2021,Colombia 2021,25,23,2,0.92
ed9a6c81f8e5fb94,Colombia,2022,Colombia 2022,24,22,2,0.9166666666666666
c70d21b6380ff8fc,Ecuador,2021,Ecuador 2021,25,23,2,0.92
0c50203e4ea9e6e7,El Salvador,2017,2017,26,24,2,0.9230769230769231
648ba67dc99a9346,El Salvador,2019,2019,27,25,2,0.9259259259259259
4ddbb0cda233441d,Ethiopia,2022,Ethiopia 2022,32,30,2,0.9375
27e30bcdac0c444c,Ethiopia,2024,Ethiopia 2024,42,40,2,0.9523809523809523
4b1d2194122da044,Guatemala,2014,2014,24,22,2,0.9166666666666666
07a149006df074a2,Guatemala,2017,2017,30,28,2,0.9333333333333333
a888e8977fcf5201,Guatemala,2024,Guatemala 2024,33,31,2,0.9393939393939394
1a1cc9a2fd677144,Honduras,2022,Honduras 2022,27,25,2,0.9259259259259259
c00d15b2e8b05812,Honduras,2023,Honduras 2023,32,30,2,0.9375
7b46413689f41744,Nicaragua,2023,Nicaragua 2023,18,16,2,0.8888888888888888
7eda394b87ad5966,Nicaragua,2025,Nicaragua 2025,32,30,2,0.9375
d9e938f39eb3880a,Peru,2024,Peru 2024,34,32,2,0.9411764705882353
216beb519b06ab27,Peru,2025,Peru 2025,35,33,2,0.9428571428571428
10b05a69b2ee99bc,Thailand,2024,Thailand 2024,33,31,2,0.9393939393939394
e4f222213bccceb2,Thailand,2025,Thailand 2025,30,28,2,0.9333333333333333
