country,year,program,stage,process_group,source_url,source_table_id,rank,size,farm_cws,farmer_representative,region,score,download_status,download_error,lot_number,lot_size,high_bid,total_value,high_bidder_s,producer,variety,process,weight_kg,farm,farmer,process_variety,weight_lbs,company_name,farm_name,bid_lb,winner,buyer_s_location,altitude_masl,ranking,price_per_lb,total_price,origin,buyer,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,na_10,na_11,na_12,na_13,na_14,na_15,weight_lb,final_bid_lb,processing,lot_no,coffee_washing_station_name,coffee_washing_station_owner,variety_processing,boxes,weight,bid,high_bidder,owner,size_30kg_boxes,hight_bid,high_bid_lb,business_name,farmer_name,farmer_organization,zone,woreda,lot_lbs,size_lbs,weights_kg,altitude_m,estimated_weight_kg,proceso,variedad,winners,weigth_kg,lot,lb,size_69kg_bags,origin_of_buyer,wight_lb,farmer_representetive,farmer_en,farm_en
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,2,31,47,FAZENDA CACHOEIRA DA GRAMA…,GABRIEL DE CARVALHO DIAS,"SÃO SEBASTIÃO DA GRAMA, MÉDIA MOGIANA",84.60,success,NA,31,47,$3.60/lb,"$3,730.21","Cafe DAZAC, Eungubi Roasters, Crema Costa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,2,32,89,SÍTIO BELA VISTA 2017 {FT},JARBAS CLETO LOPES,"SÃO GONÇALO DO SAPUCAÍ , MANTIQUEIRA DE MINAS",84.07,success,NA,32,89,-/lb,–,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2017/,2,33,59,SÍTIO SANTA ANA 2017 {FT/4C},EDSON MESSIAS DE CARVALHO,"JOAQUIM TÁVORA, NORTE PIONEIRO DO PARANÁ",84.00,success,NA,33,59,-/lb,–,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2018,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,2,32,20,Sítio Laranjeira,Valmirar Matos Novais,Chapada Diamantina,85.81,success,NA,NA,NA,$4.20/lb,"$5,555.63","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa, Beanstore, Eungubiro Roasters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2018,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,2,33,12,Sitio Limoeiro,Heládio Pedro Brito,Chapada Diamantina,85.75,success,NA,NA,NA,$4.40/lb,"$3,492.10","Tashiro Coffee Co., Ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2018,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,2,34,21,Fazenda Monte Verde,Nobletree Coffee Farms,Mantiqueira de Minas,85.69,success,NA,NA,NA,$4.00/lb,"$5,555.64","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa, Beanstore, Eungubiro Roasters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2018,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,2,35,12,Sítio Paraíso (Lote 3),Cristiana Maria Carneiro Bustamante Figueira,Mantiqueira de Minas,85.44,success,NA,NA,NA,$4.40/lb,"$3,492.10",CoffeeMeikan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2018,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,2,37,16,Fazenda Shekinah II,Samuel Costa Brito,Planalto de Vitória da Conquista,85.05,success,NA,NA,NA,$4.00/lb,"$4,232.88",Campos Coffee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2019,NW,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2019/,2,NW,NA,NA,NA,Cerrado Mineiro,85.98,success,NA,NA,NA,$3.50/lb,"$2,777.88",Carrboro Coffee Roasters,NA,NA,NA,360,Fazenda Freitas,Osmar Pereira Nunes Junior,"Natural Anaerobic, Arara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,1a,NA,NA,NA,NA,90.03,success,NA,NA,NA,$40.00,"$15,873.20",NA,NA,NA,NA,NA,Sítio Escondica,NA,NA,396.83,Luce Coffee Roasters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
