date,year,month,series,value,unit,market_scope,source_url
2019-05-01,2019,5,Cocoa — World Bank,2.32,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2019-06-01,2019,6,Cocoa — World Bank,2.41,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2019-07-01,2019,7,Cocoa — World Bank,2.42,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2019-08-01,2019,8,Cocoa — World Bank,2.19,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2019-09-01,2019,9,Cocoa — World Bank,2.31,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2019-10-01,2019,10,Cocoa — World Bank,2.44,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2019-11-01,2019,11,Cocoa — World Bank,2.52,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2019-12-01,2019,12,Cocoa — World Bank,2.44,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-01-01,2020,1,Cocoa — World Bank,2.6,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-02-01,2020,2,Cocoa — World Bank,2.72,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-03-01,2020,3,Cocoa — World Bank,2.34,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-04-01,2020,4,Cocoa — World Bank,2.27,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-05-01,2020,5,Cocoa — World Bank,2.32,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-06-01,2020,6,Cocoa — World Bank,2.23,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-07-01,2020,7,Cocoa — World Bank,2.1,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-08-01,2020,8,Cocoa — World Bank,2.35,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-09-01,2020,9,Cocoa — World Bank,2.46,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-10-01,2020,10,Cocoa — World Bank,2.29,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-11-01,2020,11,Cocoa — World Bank,2.36,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2020-12-01,2020,12,Cocoa — World Bank,2.41,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-01-01,2021,1,Cocoa — World Bank,2.39,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-02-01,2021,2,Cocoa — World Bank,2.41,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-03-01,2021,3,Cocoa — World Bank,2.46,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-04-01,2021,4,Cocoa — World Bank,2.37,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-05-01,2021,5,Cocoa — World Bank,2.41,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-06-01,2021,6,Cocoa — World Bank,2.37,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-07-01,2021,7,Cocoa — World Bank,2.33,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-08-01,2021,8,Cocoa — World Bank,2.48,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-09-01,2021,9,Cocoa — World Bank,2.56,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-10-01,2021,10,Cocoa — World Bank,2.57,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-11-01,2021,11,Cocoa — World Bank,2.39,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2021-12-01,2021,12,Cocoa — World Bank,2.38,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-01-01,2022,1,Cocoa — World Bank,2.47,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-02-01,2022,2,Cocoa — World Bank,2.55,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-03-01,2022,3,Cocoa — World Bank,2.46,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-04-01,2022,4,Cocoa — World Bank,2.46,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-05-01,2022,5,Cocoa — World Bank,2.37,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-06-01,2022,6,Cocoa — World Bank,2.32,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-07-01,2022,7,Cocoa — World Bank,2.24,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-08-01,2022,8,Cocoa — World Bank,2.32,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-09-01,2022,9,Cocoa — World Bank,2.3,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-10-01,2022,10,Cocoa — World Bank,2.31,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-11-01,2022,11,Cocoa — World Bank,2.41,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2022-12-01,2022,12,Cocoa — World Bank,2.51,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-01-01,2023,1,Cocoa — World Bank,2.62,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-02-01,2023,2,Cocoa — World Bank,2.65,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-03-01,2023,3,Cocoa — World Bank,2.75,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-04-01,2023,4,Cocoa — World Bank,2.88,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-05-01,2023,5,Cocoa — World Bank,2.96,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-06-01,2023,6,Cocoa — World Bank,3.17,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-07-01,2023,7,Cocoa — World Bank,3.39,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-08-01,2023,8,Cocoa — World Bank,3.46,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-09-01,2023,9,Cocoa — World Bank,3.61,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-10-01,2023,10,Cocoa — World Bank,3.63,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-11-01,2023,11,Cocoa — World Bank,4.03,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2023-12-01,2023,12,Cocoa — World Bank,4.21,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-01-01,2024,1,Cocoa — World Bank,4.4,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-02-01,2024,2,Cocoa — World Bank,5.56,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-03-01,2024,3,Cocoa — World Bank,7.09,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-04-01,2024,4,Cocoa — World Bank,9.74,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-05-01,2024,5,Cocoa — World Bank,7.54,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-06-01,2024,6,Cocoa — World Bank,8.27,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-07-01,2024,7,Cocoa — World Bank,7.09,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-08-01,2024,8,Cocoa — World Bank,6.88,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-09-01,2024,9,Cocoa — World Bank,6.52,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-10-01,2024,10,Cocoa — World Bank,6.66,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-11-01,2024,11,Cocoa — World Bank,7.89,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2024-12-01,2024,12,Cocoa — World Bank,10.32,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-01-01,2025,1,Cocoa — World Bank,10.75,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-02-01,2025,2,Cocoa — World Bank,9.86,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-03-01,2025,3,Cocoa — World Bank,8.08,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-04-01,2025,4,Cocoa — World Bank,8.15,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-05-01,2025,5,Cocoa — World Bank,8.99,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-06-01,2025,6,Cocoa — World Bank,8.4,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-07-01,2025,7,Cocoa — World Bank,7.37,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-08-01,2025,8,Cocoa — World Bank,7.6,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-09-01,2025,9,Cocoa — World Bank,7.03,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-10-01,2025,10,Cocoa — World Bank,5.95,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-11-01,2025,11,Cocoa — World Bank,5.61,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2025-12-01,2025,12,Cocoa — World Bank,5.78,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026-01-01,2026,1,Cocoa — World Bank,4.97,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026-02-01,2026,2,Cocoa — World Bank,3.59,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026-03-01,2026,3,Cocoa — World Bank,3.24,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026-04-01,2026,4,Cocoa — World Bank,3.4,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026-05-01,2026,5,Cocoa — World Bank,4.16,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026-06-01,2026,6,Cocoa — World Bank,4.4,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026-07-01,2026,7,Cocoa — World Bank,5.61,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026-08-01,2026,8,Cocoa — World Bank,5.95,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-01-01,1999,1,Coffee Arabica — World Bank,2.49,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-02-01,1999,2,Coffee Arabica — World Bank,2.33,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-03-01,1999,3,Coffee Arabica — World Bank,2.32,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-04-01,1999,4,Coffee Arabica — World Bank,2.25,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-05-01,1999,5,Coffee Arabica — World Bank,2.45,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-06-01,1999,6,Coffee Arabica — World Bank,2.36,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-07-01,1999,7,Coffee Arabica — World Bank,2.09,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-08-01,1999,8,Coffee Arabica — World Bank,2.01,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-09-01,1999,9,Coffee Arabica — World Bank,1.86,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-10-01,1999,10,Coffee Arabica — World Bank,2.08,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-11-01,1999,11,Coffee Arabica — World Bank,2.5,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
1999-12-01,1999,12,Coffee Arabica — World Bank,2.74,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-01-01,2000,1,Coffee Arabica — World Bank,2.45,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-02-01,2000,2,Coffee Arabica — World Bank,2.28,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-03-01,2000,3,Coffee Arabica — World Bank,2.22,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-04-01,2000,4,Coffee Arabica — World Bank,2.09,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-05-01,2000,5,Coffee Arabica — World Bank,2.08,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-06-01,2000,6,Coffee Arabica — World Bank,1.91,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-07-01,2000,7,Coffee Arabica — World Bank,1.93,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-08-01,2000,8,Coffee Arabica — World Bank,1.7,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-09-01,2000,9,Coffee Arabica — World Bank,1.67,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-10-01,2000,10,Coffee Arabica — World Bank,1.69,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-11-01,2000,11,Coffee Arabica — World Bank,1.58,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2000-12-01,2000,12,Coffee Arabica — World Bank,1.46,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-01-01,2001,1,Coffee Arabica — World Bank,1.45,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-02-01,2001,2,Coffee Arabica — World Bank,1.48,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-03-01,2001,3,Coffee Arabica — World Bank,1.47,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-04-01,2001,4,Coffee Arabica — World Bank,1.46,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-05-01,2001,5,Coffee Arabica — World Bank,1.53,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-06-01,2001,6,Coffee Arabica — World Bank,1.41,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-07-01,2001,7,Coffee Arabica — World Bank,1.29,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2001-08-01,2001,8,Coffee Arabica — World Bank,1.32,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
