event_id,event_name,event_type,country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_label_status,process_family,base_process,innovation_class,experimental_method,process_classification_source,rank_key,entry_rank,farm_key,producer_key,entry_key,lot_key,auction_rank,final_bid_usd_lb,weight_lb,total_value_usd,buyer,price_reported,weight_reported,buyer_reported,value_reported,calculated_value_usd,relative_value_difference,value_identity_status,match_status,unmatched_reason,eligible_matched_price_sample
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,1,90.44,CENAPROC,CENAPROC (82 farmer lot),NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,1,1,cenaproc,cenaproc 82 farmer lot,86f5fadc62969c5f|COE|NA|1,86f5fadc62969c5f|COE|NA|1,1,11.25,NA,32986.67,Solberg & Hansen AS,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,10,85.56,AGRICABV CARANAVI,"Policarpio Tarqui, Jacinto Quispe",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,10,10,agricabv caranavi,policarpio tarqui jacinto quispe,86f5fadc62969c5f|COE|NA|10,86f5fadc62969c5f|COE|NA|10,10,5.05,NA,10910.68,"Toa Coffee Co.,Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,11,84.58,Cooperativa CIANA,Cooperativa CIANA (22 farmer lot),NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,11,11,cooperativa ciana,cooperativa ciana 22 farmer lot,86f5fadc62969c5f|COE|NA|11,86f5fadc62969c5f|COE|NA|11,11,4.8,NA,6666.78,Stumptown,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,12,84,Anditrade,"Gumercindo Quispe, Rumualdo Álvarez",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,12,12,anditrade,gumercindo quispe rumualdo alvarez,86f5fadc62969c5f|COE|NA|12,86f5fadc62969c5f|COE|NA|12,12,5,NA,7716.18,"Coffee Masters, Inc.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,13,84,Daniel Colque Villca,Daniel Colque Villca,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,13,13,daniel colque villca,daniel colque villca,86f5fadc62969c5f|COE|NA|13,86f5fadc62969c5f|COE|NA|13,13,4.66,NA,7910.63,Katocoffee Inc.,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,2,90.06,CENAPROC,Pedro Patana,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,2,2,cenaproc,pedro patana,86f5fadc62969c5f|COE|NA|2,86f5fadc62969c5f|COE|NA|2,2,10.05,NA,27917.14,Maruyama Coffee for Mikatajuku group,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,3,89.75,CENAPROC,"Productores Luis Huayhua, Silberio Cereso, Félix Castro",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,3,3,cenaproc,productores luis huayhua silberio cereso felix castro,86f5fadc62969c5f|COE|NA|3,86f5fadc62969c5f|COE|NA|3,3,10,NA,13889.12,Time’s Club and C-Coop,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,4,89.22,Cooperativa UNION PROAGRO,Eusebio Marca Cruz,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,4,4,cooperativa union proagro,eusebio marca cruz,86f5fadc62969c5f|COE|NA|4,86f5fadc62969c5f|COE|NA|4,4,5.25,NA,8101.99,The Roasterie Inc,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,5,88.28,CENAPROC,"Bernardo Apaza, Lorenzo Choque",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,5,5,cenaproc,bernardo apaza lorenzo choque,86f5fadc62969c5f|COE|NA|5,86f5fadc62969c5f|COE|NA|5,5,8.05,NA,11180.74,"Intelligentsia, Coffee Tree Roasters, and The Stumptown",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,6,88.25,AGRICABV Caranavi,"Eugenio Nina, Wilfredo Condori",NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,6,6,agricabv caranavi,eugenio nina wilfredo condori,86f5fadc62969c5f|COE|NA|6,86f5fadc62969c5f|COE|NA|6,6,5.55,NA,7708.46,"Caravan Coffee Co.,Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,7,88.14,Cooperativa UNION PROAGRO,Andrea Hilari Condori,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,7,7,cooperativa union proagro,andrea hilari condori,86f5fadc62969c5f|COE|NA|7,86f5fadc62969c5f|COE|NA|7,7,5.7,NA,7916.8,"Schluter & Maack for Hagen Kaffee, Lloyd Caffee, Laier Kaffeerosterei, Wasserburger Kaffee, mondo del caffÃ¨",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,8,88.03,Cooperativa CIANA,Yolanda Lourdes Condori Chura,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,8,8,cooperativa ciana,yolanda lourdes condori chura,86f5fadc62969c5f|COE|NA|8,86f5fadc62969c5f|COE|NA|8,8,6.01,NA,9274.85,Solberg & Hansen for Kaffebrenneriet AS,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,NA,9,87.67,Valentin Choquehuanca,Valentin Choquehuanca,NA,NA,"Caranavi, La Paz",https://allianceforcoffeeexcellence.org/bolivia-2004/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,9,9,valentin choquehuanca,valentin choquehuanca,86f5fadc62969c5f|COE|NA|9,86f5fadc62969c5f|COE|NA|9,9,5.1,NA,7083.45,"World Coffee Co.,Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
cbe3c4b09a54bec0,2005,COE,Bolivia,2005,COE,NA,1,93.52,Agricabv BV Calama Marka,Juan de Dios Blanco,NA,NA,"Calama, Calama",https://allianceforcoffeeexcellence.org/bolivia-2005/,FALSE,not reported,Not reported,Not reported,Not reported,NA,not reported,1,1,agricabv bv calama marka,juan de dios blanco,cbe3c4b09a54bec0|COE|NA|1,cbe3c4b09a54bec0|COE|NA|1,1,12.55,NA,30988.18,"Small Axe Coffee Alliance – Intelligentsia, Coffee Tree Roasters, Coffee Klatch, Paradise Roasters, Caffe Pronto, Sweet Maria’s, PT’s coffee, Gimme Coffee, Barefoot Coffee, Victrola, Groundworks, Alpen Sierra, 49th Parallel, Ecco Caffe, Maruyama Coffee fo",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE
