event_id,event_name,event_type,country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_family,process_classification_source,rank_key,entry_rank,farm_key,producer_key,entry_key,lot_key,auction_rank,final_bid_usd_lb,weight_lb,total_value_usd,buyer,price_reported,weight_reported,buyer_reported,value_reported,calculated_value_usd,relative_value_difference,value_identity_status,match_status,unmatched_reason,eligible_matched_price_sample,process_label_status,base_process,innovation_class,experimental_method,experimental_technology,first_observed_year_country,last_observed_year_country,left_censored_at_baseline,appearance_after_baseline,first_observed_experimental_entry,reproduced_experimental_entry
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,13,89.26,Fazenda Santa Rita – Central Mattos,Filomena Estefânia de Mattos Couto,Natural,Topázio Amarelo,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,13,13,fazenda santa rita central mattos,filomena estefania de mattos couto,56f3d93e6d53724a|COE|NA|13,56f3d93e6d53724a|COE|NA|13,13,7.1,NA,5634.99,"Wataru & Co., Ltd",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,13,88.03,Sítio Grota São Pedro,Cláudio Carneiro Pinto,Pulped Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,13,13,sitio grota sao pedro,claudio carneiro pinto,d1543b65c7f3dffe|COE|NA|13,d1543b65c7f3dffe|COE|NA|13,13,5.6,NA,4444.5,Nagahama Coffee Inc.,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,14,89.03,Sitio Grota Fria,Ademilson Noiman Borges,Natural,Mundo Novo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,14,14,sitio grota fria,ademilson noiman borges,56f3d93e6d53724a|COE|NA|14,56f3d93e6d53724a|COE|NA|14,14,6.8,NA,5396.89,"Wataru & Co., Ltd",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,14,87.97,Fazenda Volta da Serra,Agnaldo Martins Assunção,Pulped Natural,Catuaí,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,14,14,fazenda volta da serra,agnaldo martins assuncao,d1543b65c7f3dffe|COE|NA|14,d1543b65c7f3dffe|COE|NA|14,14,5.5,NA,4365.13,InterAmerican Coffee GmbH,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,15,88.91,Fazenda Alto da Serra,Valdeci Domingos Nascimento,Natural,Catuaí Amarelo,Sul de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,15,15,fazenda alto da serra,valdeci domingos nascimento,56f3d93e6d53724a|COE|NA|15,56f3d93e6d53724a|COE|NA|15,15,5.6,NA,7037.13,"GSC International Co., Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,15,87.97,Fazenda Rio Verde,Ipanema Agrícola S/A,Pulped Natural,Catuaí Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,15,15,fazenda rio verde,ipanema agricola s a,d1543b65c7f3dffe|COE|NA|15,d1543b65c7f3dffe|COE|NA|15,15,6.1,NA,4437.93,"GSC International Co., Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,16,88.85,Fazenda Pedra Preta,Antônio Fortes Bustamante,Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,16,16,fazenda pedra preta,antonio fortes bustamante,56f3d93e6d53724a|COE|NA|16,56f3d93e6d53724a|COE|NA|16,16,5.5,NA,5456.44,Honu Kato Coffee Inc.,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,16,87.94,Fazenda Boa Vista,Lívio César Carvalho Ferraz,Pulped Natural,Acaiá,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,16,16,fazenda boa vista,livio cesar carvalho ferraz,d1543b65c7f3dffe|COE|NA|16,d1543b65c7f3dffe|COE|NA|16,16,5.5,NA,5092.67,"Wataru & Co.,Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,17,88.79,Fazenda Barinas,Marcio Borges Castro Alves,Natural,Bourbon Amarelo,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,17,17,fazenda barinas,marcio borges castro alves,56f3d93e6d53724a|COE|NA|17,56f3d93e6d53724a|COE|NA|17,17,5.6,NA,4444.5,"NIPPON COFFEE TRADING CO., LTD.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,17,87.72,Fazenda Vista Alegre,Miguel Ângelo Macedo Xavier,Pulped Natural,Catuaí,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,17,17,fazenda vista alegre,miguel angelo macedo xavier,d1543b65c7f3dffe|COE|NA|17,d1543b65c7f3dffe|COE|NA|17,17,5.5,NA,4365.13,Honu Kato Coffee Inc.,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,18,88.65,Fazenda Cachoeira da Grama,Gabriel de Carvalho Dias,Natural,Bourbon,Média Mogiana,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,18,18,fazenda cachoeira da grama,gabriel de carvalho dias,56f3d93e6d53724a|COE|NA|18,56f3d93e6d53724a|COE|NA|18,18,6.2,NA,8201.17,"Brazcof Inc. for Detour Coffee, Propeller Coffee, & Nossa Familia Coffee",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,18,87.39,Fazenda Passagem Pedra,Alencar Julião Dias Filho,Pulped Natural,Catuaí,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,18,18,fazenda passagem pedra,alencar juliao dias filho,d1543b65c7f3dffe|COE|NA|18,d1543b65c7f3dffe|COE|NA|18,18,5.5,NA,4365.13,"Maruyama Coffee Co., Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
