event_id,event_name,event_type,country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_label_status,process_family,base_process,innovation_class,experimental_method,process_classification_source,rank_key,entry_rank,farm_key,producer_key,entry_key,experimental_technology,first_observed_year_country,last_observed_year_country,left_censored_at_baseline,appearance_after_baseline,observed_again_later,first_observed_experimental_entry,reproduced_experimental_entry
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,15,88.91,Fazenda Alto da Serra,Valdeci Domingos Nascimento,Natural,Catuaí Amarelo,Sul de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,15,15,fazenda alto da serra,valdeci domingos nascimento,56f3d93e6d53724a|COE|NA|15,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,15,87.97,Fazenda Rio Verde,Ipanema Agrícola S/A,Pulped Natural,Catuaí Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,15,15,fazenda rio verde,ipanema agricola s a,d1543b65c7f3dffe|COE|NA|15,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,16,88.85,Fazenda Pedra Preta,Antônio Fortes Bustamante,Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,16,16,fazenda pedra preta,antonio fortes bustamante,56f3d93e6d53724a|COE|NA|16,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,16,87.94,Fazenda Boa Vista,Lívio César Carvalho Ferraz,Pulped Natural,Acaiá,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,16,16,fazenda boa vista,livio cesar carvalho ferraz,d1543b65c7f3dffe|COE|NA|16,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,17,88.79,Fazenda Barinas,Marcio Borges Castro Alves,Natural,Bourbon Amarelo,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,17,17,fazenda barinas,marcio borges castro alves,56f3d93e6d53724a|COE|NA|17,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,17,87.72,Fazenda Vista Alegre,Miguel Ângelo Macedo Xavier,Pulped Natural,Catuaí,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,17,17,fazenda vista alegre,miguel angelo macedo xavier,d1543b65c7f3dffe|COE|NA|17,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,18,88.65,Fazenda Cachoeira da Grama,Gabriel de Carvalho Dias,Natural,Bourbon,Média Mogiana,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,18,18,fazenda cachoeira da grama,gabriel de carvalho dias,56f3d93e6d53724a|COE|NA|18,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,18,87.39,Fazenda Passagem Pedra,Alencar Julião Dias Filho,Pulped Natural,Catuaí,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,18,18,fazenda passagem pedra,alencar juliao dias filho,d1543b65c7f3dffe|COE|NA|18,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,19,88.35,Sitio do Bone,Vanderlei Paulo Martins,Natural,catuaí,Matas de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,19,19,sitio do bone,vanderlei paulo martins,56f3d93e6d53724a|COE|NA|19,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,19,87.25,Chácara Vista Alegre,José Renato Rodrigues Alves,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,19,19,chacara vista alegre,jose renato rodrigues alves,d1543b65c7f3dffe|COE|NA|19,NA,NA,NA,NA,NA,NA,FALSE,FALSE
