country,year,event_name,event_type,source_url,accessed_at,active,notes
El Salvador,2024,El Salvador 2024,COE,https://allianceforcoffeeexcellence.org/el-salvador-2024/,2026-09-11,true,Official ACE historical results page
Ethiopia,2024,Ethiopia 2024,COE,https://allianceforcoffeeexcellence.org/ethiopia-2024/,2026-09-11,true,Official ACE historical results page
Guatemala,2024,Guatemala 2024,COE,https://allianceforcoffeeexcellence.org/guatemala-2024/,2026-09-11,true,Official ACE historical results page
Honduras,2024,Honduras 2024,COE,https://allianceforcoffeeexcellence.org/honduras-2024/,2026-09-11,true,Official ACE historical results page
Mexico,2024,Mexico 2024,COE,https://allianceforcoffeeexcellence.org/mexico-2024/,2026-09-11,true,Official ACE historical results page
Nicaragua,2024,Nicaragua 2024,COE,https://allianceforcoffeeexcellence.org/nicaragua-2024/,2026-09-11,true,Official ACE historical results page
Peru,2024,Peru 2024,COE,https://allianceforcoffeeexcellence.org/peru-2024/,2026-09-11,true,Official ACE historical results page
Taiwan,2024,Taiwan 2024,COE,https://allianceforcoffeeexcellence.org/taiwan-2024/,2026-09-11,true,Official ACE historical results page
Thailand,2024,Thailand 2024,COE,https://allianceforcoffeeexcellence.org/thailand-2024/,2026-09-11,true,Official ACE historical results page
Brazil,2025,Brazil 2025,COE,https://allianceforcoffeeexcellence.org/brazil-2025/,2026-09-11,true,Official ACE historical results page
Costa Rica,2025,Costa Rica 2025,COE,https://allianceforcoffeeexcellence.org/costa-rica-2025/,2026-09-11,true,Official ACE historical results page
El Salvador,2025,El Salvador 2025,COE,https://allianceforcoffeeexcellence.org/el-salvador-2025/,2026-09-11,true,Official ACE historical results page
Guatemala,2025,Guatemala 2025,COE,https://allianceforcoffeeexcellence.org/guatemala-2025/,2026-09-11,true,Official ACE historical results page
Honduras,2025,Honduras 2025,COE,https://allianceforcoffeeexcellence.org/honduras-2025/,2026-09-11,true,Official ACE historical results page
Mexico,2025,Mexico 2025,COE,https://allianceforcoffeeexcellence.org/mexico-2025/,2026-09-11,true,Official ACE historical results page
Nicaragua,2025,Nicaragua 2025,COE,https://allianceforcoffeeexcellence.org/nicaragua-2025/,2026-09-11,true,Official ACE historical results page
Peru,2025,Peru 2025,COE,https://allianceforcoffeeexcellence.org/peru-2025/,2026-09-11,true,Official ACE historical results page
Taiwan,2025,Taiwan 2025,COE,https://allianceforcoffeeexcellence.org/taiwan-2025/,2026-09-11,true,Official ACE historical results page
Thailand,2025,Thailand 2025,COE,https://allianceforcoffeeexcellence.org/thailand-2025/,2026-09-11,true,Official ACE historical results page
